吃,eat,216,16,232
喝,drink,216,16,232
看,see; look,8,1,9
走,walk; go,8,1,9
来,come,8,1,9
去,go,9,0,9
说,speak; say,8,2,10
听,listen; hear,8,1,9
读,read,7,4,11
写,write,9,0,9
睡,sleep,8,1,9
醒,wake up,187,48,235
坐,sit,200,32,232
站,stand,188,44,232
跑,run,9,0,9
买,buy,120,16,136
卖,sell,136,0,136
给,give,364,72,436
拿,take,351,88,439
放,put,339,100,439
开,open,356,80,436
关,close,349,90,439
做,do; make,346,129,475
工作,work,212,40,252
学,learn,220,32,252
教,teach,236,16,252
帮,help,9,0,9
爱,love,8,2,10
喜欢,like; love,428,44,472
要,want; wish,380,92,472
