父,father,8,5,13
母,mother,12,1,13
儿,son,10,3,13
女,daughter,10,3,13
哥,older brother,10,3,13
弟,younger brother,10,3,13
姐,older sister,10,3,13
妹,younger sister,6,7,13
爷,grandfather (paternal),8,5,13
奶,grandmother (paternal),7,6,13
外公,grandfather (maternal),8,5,13
外婆,grandmother (maternal),7,6,13
叔,uncle (father's brother),6,7,13
姑,aunt (father's sister),5,8,13
舅,uncle (mother's brother),7,6,13
姨,aunt (mother's sister),4,9,13
夫,husband,9,4,13
妻,wife,8,5,13
家,family,11,2,13
父母,parents,10,3,13
孩子,children,9,4,13
婴儿,baby,9,4,13
男孩,boy,9,4,13
女孩,girl,8,5,13
表哥,cousin (male),8,5,13
表姐,cousin (female),7,6,13
侄子,nephew,4,9,13
侄女,niece,7,6,13
